Date,Open,High,Low,Close,Volume
1/16/19,3220.23,3230.77,3211.56,3229.11,221727700
1/17/19,3231.55,3235.14,3208.88,3214.44,182604189
1/18/19,3221.43,3233.7,3217.24,3224.34,166160910
1/21/19,3233.72,3250.27,3220.56,3220.56,189321400
1/22/19,3218.95,3218.95,3192.71,3192.71,143706500
1/23/19,3185.69,3193.89,3165.09,3171.11,217746650
1/24/19,3174.59,3190.73,3153.61,3190.73,225586183
1/25/19,3196.68,3220.68,3194.49,3202.25,208720000
1/28/19,3203.78,3218.44,3194.68,3199.5,162010274
1/29/19,3191.86,3196.09,3176.13,3187.69,195842081
1/30/19,3188.43,3194.28,3169.29,3174.38,231657800
1/31/19,3187.73,3197.98,3183.68,3190.17,283186585
2/1/19,3194.22,3205.03,3182.35,3188.68,196811762
2/4/19,3192.36,3197.96,3182.17,3184.56,90949900
2/7/19,3211.93,3215.9,3194.18,3200.64,197238815
2/8/19,3177.91,3205.25,3177.91,3202.04,205377232
2/11/19,3176,3206.27,3174,3206.27,230993800
2/12/19,3202.86,3213.68,3198.75,3201.15,170851501
2/13/19,3219.9,3244.77,3219.77,3244.77,256034000
2/14/19,3240.62,3253.67,3235.8,3253.16,216363300
2/15/19,3248.45,3259.79,3229.85,3239.74,276735800
2/18/19,3258.81,3276.61,3256.86,3265.97,177824700
2/19/19,3267.07,3280.04,3258.71,3259.8,160461878
2/20/19,3275.35,3285.6,3266.89,3278.38,212608000
2/21/19,3273.57,3286.08,3262.99,3277.91,246791084
2/22/19,3256.93,3273.16,3256.17,3269.9,295519370
2/25/19,3273.45,3276.47,3252.66,3272.35,226696100
2/26/19,3272.12,3273.82,3252.58,3261.66,198689394
2/27/19,3261.99,3284.73,3245.71,3250.02,231817800
2/28/19,3238.94,3243.75,3214.48,3212.69,311329100
3/1/19,3210.84,3231.21,3202.02,3220.4,188764893
3/4/19,3224.69,3251.72,3215.66,3251.08,222687703
3/5/19,3241.01,3247.6,3228.25,3234.07,202475500
3/6/19,3235.42,3241.58,3222.84,3222.84,227165541
3/7/19,3224.43,3235.69,3218.25,3229.48,226070460
3/8/19,3204.4,3215.23,3192.71,3195.87,207397969
3/11/19,3187.75,3197.71,3185.06,3191.42,136692185
3/12/19,3211.7,3228.21,3209.08,3212.25,183342700
3/13/19,3209.05,3209.05,3183.72,3195.59,178496215
3/14/19,3188.36,3204.36,3183.64,3197.92,219074947
3/15/19,3198.3,3216.72,3193.9,3200.18,330829900
3/18/19,3210.49,3216.31,3206.45,3212.96,149113632
3/19/19,3214.79,3221.69,3204.13,3220.92,235182900
3/20/19,3213.98,3214.49,3195.33,3207.66,219242500
3/21/19,3214.6,3219.31,3206.21,3213.65,202526700
3/22/19,3218.52,3228.38,3207.27,3212.1,157199376
3/25/19,3170.5,3182.92,3156.79,3182.92,191186100
3/26/19,3195.47,3214.82,3188.22,3200.28,195419396
3/27/19,3195.69,3214.23,3191.93,3198.39,213812900
3/28/19,3196.83,3213.62,3192.48,3203.58,155175000
3/29/19,3223.56,3226.74,3209.5,3212.88,214426600
4/1/19,3229.11,3250.51,3227.62,3250.51,200194990
4/2/19,3269.55,3283.01,3256.01,3279.78,207683900
4/3/19,3299.26,3318.56,3299.26,3311.27,213151400
4/4/19,3312.06,3323.37,3303.1,3316.21,464932700
4/5/19,3317.11,3332.59,3316.66,3322.64,246233329
4/8/19,3326.35,3327.66,3309.17,3315.42,166966339
4/9/19,3317.65,3329.67,3313.04,3325.6,209389200
4/10/19,3317.58,3333.18,3316.92,3327.65,224263634
4/11/19,3330.51,3348.04,3324.73,3330.82,232241600
4/12/19,3330.64,3333.38,3318.99,3331.98,187825600
4/15/19,3341.75,3344.17,3321.06,3325.86,180200200
4/16/19,3326.78,3335.66,3325.84,3332.04,195429600
4/17/19,3334.84,3353.08,3333.88,3348.64,201255200
4/18/19,3352.36,3356.82,3336.48,3347.58,202182600
4/22/19,3358.54,3359.88,3349.86,3357.7,114132700
4/23/19,3353.72,3358.11,3345.59,3353.47,197407100
4/24/19,3359.13,3362.43,3350.83,3362.43,215818200
4/25/19,3349.35,3361.25,3347.16,3350.28,177218200
4/26/19,3344.14,3356.95,3336.92,3356.95,256076890
4/29/19,3368.66,3415.18,3365.05,3407.02,254825694
4/30/19,3411.85,3412.47,3387.46,3400.2,237857083
5/2/19,3389.52,3395.4,3376.09,3393.33,194868600
5/3/19,3384.38,3397.18,3371.31,3392.29,192993100
5/6/19,3329.32,3329.32,3270.22,3290.62,264335600
5/7/19,3299.96,3323.05,3292.38,3312.52,213104108
5/8/19,3286.32,3290.03,3275.78,3283.84,217505273
5/9/19,3263.41,3278.14,3253.88,3269.7,223091600
5/10/19,3281.02,3296.01,3262.85,3273.5,225900630
5/13/19,3258.94,3261.99,3226.22,3234.28,248671500
5/14/19,3205.5,3227.4,3198.22,3223.71,229599291
5/15/19,3218.51,3225.79,3211.9,3218.77,189498600
5/16/19,3212.64,3233.66,3202.67,3230.26,189205282
5/17/19,3231.45,3231.91,3203.81,3205.46,166919200
5/21/19,3198.73,3205.14,3177.12,3183.26,235917800
5/22/19,3179.44,3198,3177.99,3183.14,205806925
5/23/19,3172.46,3173.48,3151.63,3160.72,189526100
5/24/19,3152.08,3172.72,3149.97,3169.89,216192200
5/27/19,3168.47,3172.8,3157.87,3170.77,124705300
5/28/19,3171.14,3171.38,3156.95,3165.32,308017400
5/29/19,3151.89,3163.84,3147.17,3163.28,217101943
5/30/19,3147.77,3159.27,3133.6,3143,185345522
5/31/19,3114.55,3130.58,3110.51,3117.76,214826071
6/3/19,3111.51,3124.28,3104.03,3123.46,185588600
6/4/19,3129.76,3142.37,3125.38,3142.37,192175584
6/6/19,3144.43,3147.64,3125.96,3146.18,316873871
6/7/19,3145.93,3166.29,3140.68,3166.29,160855500
6/10/19,3174.88,3199.53,3171.9,3188.11,197131300
6/11/19,3193.3,3211.57,3192.93,3209.58,203723900
6/12/19,3209.26,3224.09,3193.84,3207.74,193391500
6/13/19,3203.18,3220.66,3185.67,3220.66,196186500
6/14/19,3214.68,3223.64,3209.93,3222.63,161848200
6/17/19,3210.25,3229.55,3202.22,3207.99,173852793
6/18/19,3212.54,3240.19,3209.45,3238.73,214552000
6/19/19,3275.43,3289.04,3268.56,3288.17,256051068
6/20/19,3292.97,3320.8,3290.52,3314.51,241873800
6/21/19,3314.28,3321.4,3305.05,3321.4,374170100
6/24/19,3308.71,3315.25,3303.01,3311.53,184913171
6/25/19,3317,3321.09,3301.39,3304.27,218248860
6/26/19,3298.35,3308.66,3273.27,3301.25,262031200
6/27/19,3302.05,3334.21,3299.79,3328.6,224121300
6/28/19,3336.08,3336.08,3321.38,3321.61,331532800
7/1/19,3339.58,3376.55,3337.31,3372.26,219193438
7/2/19,3373.72,3374.15,3347.92,3370.8,172726594
7/3/19,3365.35,3373.55,3352.56,3367.8,272533300
7/4/19,3370.27,3381.73,3366.9,3372.25,173900700
7/5/19,3376.93,3380.68,3353.32,3366.81,240735800
7/8/19,3356.05,3356.05,3319.19,3334.23,182177856
7/9/19,3337.96,3349.61,3322.75,3329.46,218738019
7/10/19,3339.46,3357.36,3336.25,3340.42,168813200
7/11/19,3353.81,3372.49,3349.63,3350.45,197313600
7/12/19,3354.78,3363.59,3343.56,3357.34,211383599
7/15/19,3355.15,3359.32,3337.67,3347.95,182604100
7/16/19,3349.22,3360.84,3346.32,3360.03,165554200
7/17/19,3354.83,3364.87,3349.87,3364.87,192484000
7/18/19,3349.73,3361.76,3347.1,3361.05,181650600
7/19/19,3368.39,3379.5,3365.6,3377.96,196509200
7/22/19,3369.76,3369.76,3348.78,3357.22,144979500
7/23/19,3360.18,3374,3359.25,3373.13,169680400
7/24/19,3378.36,3386.65,3361.3,3368.44,209425400
7/25/19,3373.73,3386.28,3368.69,3381.26,258371721
7/26/19,3363.56,3365.35,3349.07,3363.76,177402600
7/29/19,3362.17,3362.71,3333.38,3346.39,144539000
7/30/19,3342.57,3355.88,3341.8,3350.54,211940350
7/31/19,3359.92,3360.19,3299.89,3300.75,335994400
8/1/19,3282.79,3311.26,3280.57,3291.75,172194553
8/2/19,3271.4,3278.88,3257.38,3261.11,260845100
8/5/19,3244.6,3246.48,3193.54,3194.51,276014300
8/6/19,3160.26,3176.66,3144.8,3170.47,263062800
8/7/19,3171.57,3190.66,3160.93,3184.69,229859500
8/8/19,3170.54,3184.47,3159.45,3168.94,243493922
8/13/19,3143.21,3149.22,3132.2,3146.73,223995100
8/14/19,3170.85,3174.73,3136.84,3147.6,247729100
8/15/19,3095.85,3126.09,3084.08,3126.09,438154600
8/16/19,3109.16,3123.15,3091.32,3115.03,351579863
